,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
14918,,35,183.0,73.0,17.0,97.0,40.5
1670,,27,170.0,66.0,9.0,94.0,39.8
2320,,62,177.0,82.0,21.0,102.0,40.7
13662,,28,169.0,72.0,14.0,87.0,40.7
6962,,29,186.0,93.0,25.0,101.0,40.7
1952,,22,163.0,59.0,16.0,104.0,40.1
7632,,25,155.0,56.0,16.0,95.0,40.9
4643,,43,173.0,67.0,11.0,95.0,39.7
2937,,33,163.0,63.0,22.0,101.0,40.7
10858,,22,186.0,82.0,14.0,89.0,40.2
10645,,63,191.0,93.0,18.0,93.0,40.3
3909,,21,169.0,63.0,11.0,91.0,40.0
11487,,41,164.0,63.0,11.0,87.0,40.2
13591,,30,169.0,68.0,2.0,83.0,38.4
484,,26,180.0,81.0,7.0,92.0,39.5
11129,,31,145.0,49.0,20.0,101.0,40.5
898,,76,177.0,84.0,7.0,84.0,39.1
1732,,34,160.0,63.0,29.0,119.0,41.3
11992,,39,166.0,65.0,18.0,99.0,40.7
2613,,43,183.0,88.0,12.0,95.0,40.0
7924,,77,162.0,58.0,4.0,91.0,39.0
7988,,20,159.0,55.0,11.0,95.0,40.1
13354,,32,175.0,77.0,12.0,98.0,39.9
10758,,21,188.0,87.0,24.0,98.0,40.9
7762,,26,199.0,93.0,22.0,104.0,40.6
2640,,49,173.0,66.0,4.0,81.0,38.9
1250,,30,185.0,88.0,30.0,110.0,40.9
12927,,33,150.0,53.0,19.0,106.0,40.4
9293,,24,171.0,76.0,16.0,95.0,40.2
2435,,40,180.0,76.0,4.0,80.0,38.7
12595,,61,181.0,78.0,25.0,98.0,40.8
10166,,79,175.0,80.0,12.0,94.0,40.1
14915,,72,181.0,76.0,29.0,112.0,40.8
13357,,73,186.0,89.0,5.0,85.0,39.1
9053,,43,176.0,82.0,13.0,88.0,40.3
7603,,24,163.0,59.0,11.0,92.0,39.9
5711,,40,170.0,79.0,17.0,103.0,40.4
2303,,62,172.0,75.0,9.0,87.0,39.3
5770,,45,183.0,87.0,17.0,99.0,40.0
12475,,48,190.0,83.0,11.0,99.0,39.8
6592,,37,184.0,86.0,11.0,91.0,39.5
582,,23,171.0,65.0,27.0,105.0,40.4
4688,,28,162.0,65.0,17.0,96.0,40.2
14392,,24,164.0,56.0,8.0,81.0,39.5
718,,53,172.0,71.0,8.0,89.0,39.7
14778,,48,170.0,64.0,17.0,99.0,40.3
10379,,59,179.0,81.0,5.0,83.0,39.1
762,,63,150.0,50.0,7.0,88.0,39.4
3469,,36,176.0,83.0,26.0,101.0,40.8
1870,,54,154.0,58.0,7.0,82.0,39.4
12575,,57,185.0,80.0,7.0,93.0,39.4
7289,,53,167.0,72.0,20.0,96.0,40.4
3733,,26,156.0,53.0,14.0,93.0,40.3
9846,,75,179.0,84.0,3.0,88.0,38.7
738,,35,186.0,92.0,24.0,99.0,40.9
11457,,57,171.0,65.0,15.0,88.0,40.3
3889,,32,190.0,89.0,15.0,98.0,40.3
4635,,39,174.0,71.0,2.0,88.0,38.3
7926,,45,180.0,80.0,7.0,77.0,39.6
8192,,76,153.0,55.0,14.0,93.0,40.0
6395,,56,158.0,64.0,27.0,109.0,40.6
5070,,32,159.0,60.0,25.0,107.0,40.9
14910,,52,182.0,84.0,12.0,87.0,40.0
13098,,70,179.0,88.0,4.0,79.0,38.8
3844,,65,174.0,81.0,21.0,103.0,40.6
4842,,54,176.0,80.0,20.0,95.0,39.7
750,,21,173.0,78.0,28.0,108.0,40.7
7187,,20,189.0,90.0,27.0,98.0,40.7
7931,,22,184.0,87.0,27.0,103.0,40.8
14866,,31,174.0,72.0,18.0,99.0,40.3
12305,,29,166.0,61.0,4.0,89.0,39.2
1839,,44,184.0,89.0,14.0,96.0,40.2
14798,,60,142.0,52.0,3.0,82.0,38.5
3477,,28,158.0,55.0,19.0,101.0,40.5
1275,,71,193.0,97.0,8.0,88.0,39.4
3721,,59,166.0,68.0,14.0,89.0,40.3
10115,,30,161.0,61.0,26.0,116.0,40.8
7599,,20,173.0,74.0,25.0,100.0,40.6
9033,,23,187.0,78.0,11.0,87.0,39.7
13343,,25,157.0,58.0,24.0,100.0,40.5
11518,,23,151.0,48.0,29.0,110.0,40.9
5503,,72,186.0,84.0,13.0,93.0,40.0
6174,,49,171.0,71.0,11.0,98.0,40.2
2264,,46,162.0,68.0,5.0,92.0,38.8
8419,,27,171.0,73.0,17.0,102.0,40.2
1536,,50,174.0,76.0,25.0,104.0,40.6
5391,,28,181.0,87.0,18.0,91.0,40.6
9157,,48,192.0,94.0,6.0,85.0,39.1
4925,,39,175.0,79.0,22.0,99.0,40.5
1369,,61,159.0,59.0,10.0,82.0,39.9
740,,45,156.0,57.0,27.0,104.0,40.6
3813,,22,170.0,69.0,26.0,100.0,41.0
4238,,62,160.0,59.0,5.0,82.0,39.1
1188,,24,192.0,86.0,27.0,106.0,40.5
13452,,48,147.0,54.0,14.0,101.0,40.1
6050,,27,160.0,58.0,22.0,104.0,40.4
1570,,43,169.0,66.0,5.0,91.0,39.1
9422,,52,172.0,70.0,25.0,111.0,40.8
6075,,20,170.0,66.0,18.0,99.0,40.1
2527,,20,194.0,97.0,20.0,96.0,40.4
2127,,25,179.0,76.0,30.0,105.0,40.8
10074,,42,184.0,89.0,24.0,105.0,40.5
2764,,67,181.0,85.0,2.0,76.0,37.9
10409,,62,189.0,98.0,26.0,109.0,41.0
12331,,20,206.0,105.0,11.0,94.0,40.0
6375,,55,162.0,64.0,28.0,111.0,40.7
12172,,52,199.0,94.0,15.0,99.0,39.9
6020,,34,170.0,80.0,9.0,95.0,39.9
10035,,33,183.0,88.0,9.0,89.0,39.7
1981,,37,172.0,77.0,22.0,105.0,40.5
10256,,74,158.0,58.0,15.0,88.0,39.8
7075,,38,177.0,76.0,4.0,86.0,39.1
10615,,56,161.0,58.0,12.0,93.0,40.2
7946,,34,147.0,52.0,27.0,113.0,40.7
4104,,76,186.0,89.0,11.0,98.0,40.0
2057,,33,193.0,91.0,13.0,89.0,40.3
12966,,33,156.0,60.0,14.0,88.0,40.2
9222,,30,181.0,77.0,29.0,113.0,40.8
12855,,38,179.0,84.0,23.0,102.0,40.8
5359,,64,188.0,96.0,13.0,92.0,39.6
11697,,46,178.0,77.0,13.0,90.0,40.1
14743,,29,169.0,70.0,16.0,99.0,40.2
5778,,40,170.0,70.0,29.0,109.0,41.1
13379,,28,191.0,87.0,6.0,82.0,39.3
6485,,31,173.0,73.0,3.0,81.0,38.4
3942,,71,154.0,61.0,25.0,111.0,40.6
9270,,24,171.0,75.0,17.0,101.0,40.2
3717,,24,175.0,72.0,15.0,90.0,40.3
5046,,21,172.0,64.0,15.0,94.0,40.1
1710,,24,171.0,64.0,13.0,89.0,39.8
13118,,29,192.0,97.0,10.0,84.0,39.5
13819,,34,189.0,90.0,15.0,92.0,40.3
5960,,23,182.0,82.0,23.0,109.0,40.7
562,,34,194.0,96.0,19.0,101.0,40.5
13768,,31,161.0,62.0,9.0,93.0,39.4
4231,,42,175.0,78.0,25.0,111.0,40.9
640,,47,173.0,74.0,10.0,97.0,39.8
1669,,25,185.0,79.0,27.0,90.0,40.7
3000,,68,188.0,90.0,10.0,85.0,40.1
7309,,59,156.0,60.0,26.0,102.0,40.8
13396,,53,183.0,81.0,20.0,107.0,40.7
7809,,43,156.0,58.0,6.0,87.0,39.1
2407,,23,191.0,88.0,10.0,91.0,39.7
12567,,28,194.0,99.0,23.0,95.0,40.6
7506,,38,180.0,87.0,15.0,90.0,40.2
7799,,35,169.0,67.0,13.0,96.0,40.1
4226,,31,168.0,67.0,13.0,95.0,40.0
9826,,60,200.0,107.0,21.0,98.0,40.4
8446,,56,185.0,85.0,19.0,95.0,40.4
2910,,22,173.0,74.0,20.0,98.0,40.4
13878,,42,193.0,96.0,10.0,82.0,39.4
14367,,34,168.0,69.0,16.0,96.0,40.3
12104,,30,187.0,85.0,13.0,94.0,40.5
10186,,42,163.0,63.0,9.0,89.0,39.6
10730,,24,179.0,82.0,28.0,104.0,40.4
5125,,52,192.0,99.0,7.0,88.0,39.6
2928,,72,164.0,72.0,9.0,83.0,40.1
3166,,61,171.0,72.0,6.0,80.0,39.2
14443,,31,182.0,85.0,3.0,85.0,38.4
3378,,29,195.0,96.0,19.0,95.0,40.3
180,,78,153.0,54.0,13.0,84.0,40.3
6223,,69,188.0,85.0,14.0,106.0,40.0
12515,,73,170.0,78.0,25.0,101.0,41.4
4554,,23,146.0,45.0,18.0,96.0,40.2
2218,,20,149.0,52.0,16.0,91.0,40.4
12668,,22,146.0,50.0,7.0,79.0,39.7
1955,,43,166.0,66.0,12.0,89.0,40.1
1057,,30,178.0,84.0,8.0,80.0,39.5
5967,,69,183.0,91.0,21.0,92.0,40.3
6383,,46,154.0,55.0,16.0,90.0,40.5
10539,,32,183.0,83.0,29.0,104.0,41.0
13173,,28,182.0,76.0,13.0,91.0,40.1
1399,,60,173.0,73.0,22.0,108.0,40.8
13744,,43,182.0,89.0,24.0,108.0,40.6
5572,,28,143.0,52.0,6.0,83.0,39.2
10522,,45,158.0,56.0,11.0,87.0,39.7
4125,,40,183.0,90.0,5.0,80.0,39.0
9426,,29,176.0,72.0,13.0,95.0,40.2
11060,,25,179.0,76.0,11.0,90.0,40.3
2234,,69,200.0,98.0,17.0,96.0,39.9
12041,,44,194.0,92.0,24.0,98.0,40.8
7142,,47,153.0,57.0,3.0,84.0,38.9
13363,,45,166.0,63.0,8.0,80.0,39.6
1210,,20,175.0,69.0,22.0,98.0,40.5
12867,,25,174.0,79.0,12.0,97.0,40.3
10437,,33,194.0,100.0,6.0,92.0,39.4
2238,,20,143.0,48.0,27.0,107.0,40.6
6277,,46,162.0,58.0,24.0,106.0,40.4
10742,,60,174.0,68.0,18.0,97.0,40.1
2948,,48,168.0,73.0,28.0,99.0,40.6
11767,,63,176.0,73.0,20.0,96.0,40.9
8388,,29,169.0,71.0,1.0,84.0,38.0
10163,,28,150.0,51.0,18.0,99.0,40.5
4156,,23,189.0,91.0,23.0,107.0,40.8
7662,,25,172.0,71.0,15.0,103.0,40.1
12286,,29,180.0,82.0,14.0,86.0,40.2
3577,,23,172.0,78.0,20.0,97.0,40.3
4410,,22,174.0,76.0,15.0,93.0,40.6
5294,,46,170.0,72.0,15.0,99.0,40.2
11936,,21,180.0,77.0,14.0,92.0,40.2
1434,,76,172.0,74.0,10.0,94.0,40.1
14981,,29,188.0,89.0,19.0,95.0,40.8
92,,31,174.0,67.0,9.0,93.0,39.5
11385,,59,168.0,67.0,5.0,91.0,39.6
7925,,38,193.0,91.0,21.0,102.0,40.6
5849,,41,187.0,91.0,25.0,103.0,40.7
13065,,26,146.0,46.0,16.0,99.0,40.4
8454,,59,157.0,57.0,26.0,101.0,40.6
13316,,63,188.0,95.0,24.0,105.0,40.6
6215,,45,151.0,48.0,28.0,111.0,40.7
3465,,33,188.0,95.0,27.0,103.0,40.7
9537,,38,199.0,102.0,17.0,92.0,40.4
14197,,79,199.0,106.0,28.0,104.0,41.2
7438,,39,168.0,64.0,6.0,80.0,39.5
10279,,34,186.0,86.0,7.0,93.0,39.5
6596,,24,194.0,95.0,7.0,84.0,39.4
9314,,20,180.0,84.0,27.0,107.0,40.3
10466,,59,177.0,85.0,17.0,91.0,40.3
9356,,32,190.0,91.0,24.0,117.0,40.4
1084,,55,193.0,98.0,24.0,112.0,40.8
8749,,44,178.0,74.0,26.0,112.0,40.3
2777,,76,190.0,95.0,22.0,104.0,40.4
5681,,34,194.0,91.0,21.0,98.0,40.3
428,,75,199.0,103.0,28.0,123.0,40.5
5015,,20,189.0,86.0,11.0,91.0,40.1
8768,,30,161.0,57.0,16.0,95.0,40.2
7401,,54,156.0,60.0,24.0,102.0,40.5
4800,,55,161.0,64.0,29.0,104.0,40.3
11227,,46,185.0,94.0,9.0,87.0,40.1
13827,,29,164.0,60.0,19.0,96.0,40.5
2698,,72,178.0,79.0,19.0,108.0,40.1
6532,,42,164.0,63.0,4.0,88.0,38.6
10779,,65,169.0,71.0,17.0,96.0,40.3
11755,,20,178.0,81.0,20.0,98.0,40.5
408,,34,179.0,74.0,25.0,101.0,40.9
9706,,26,187.0,89.0,22.0,103.0,40.7
14383,,35,160.0,61.0,11.0,98.0,40.3
1608,,37,168.0,68.0,25.0,97.0,41.1
10432,,22,185.0,90.0,4.0,93.0,39.0
7149,,37,196.0,91.0,28.0,110.0,41.0
4093,,60,163.0,60.0,11.0,91.0,39.7
7665,,37,178.0,81.0,4.0,81.0,38.8
4742,,28,191.0,89.0,22.0,106.0,40.3
4953,,61,154.0,55.0,14.0,95.0,40.2
9214,,50,185.0,93.0,26.0,100.0,40.5
14579,,31,161.0,60.0,2.0,82.0,38.3
426,,43,201.0,104.0,28.0,103.0,40.7
949,,31,160.0,60.0,12.0,95.0,40.2
8361,,37,194.0,91.0,4.0,84.0,38.7
3393,,40,172.0,59.0,8.0,83.0,39.3
2865,,48,195.0,97.0,3.0,81.0,38.7
12969,,73,213.0,113.0,12.0,103.0,39.9
8959,,29,165.0,64.0,8.0,97.0,39.9
13656,,51,192.0,96.0,2.0,77.0,37.8
11110,,20,166.0,73.0,6.0,94.0,39.1
8167,,49,163.0,62.0,30.0,100.0,41.2
10318,,46,197.0,99.0,5.0,85.0,38.6
5910,,27,169.0,69.0,16.0,102.0,40.2
7105,,42,191.0,89.0,26.0,98.0,40.3
7847,,31,156.0,57.0,26.0,104.0,40.6
1691,,33,167.0,65.0,16.0,92.0,40.1
14877,,67,180.0,88.0,13.0,96.0,40.0
12747,,45,182.0,88.0,15.0,102.0,40.2
1421,,26,167.0,68.0,28.0,104.0,40.9
14791,,27,187.0,85.0,17.0,92.0,40.4
7372,,76,195.0,95.0,5.0,82.0,39.2
819,,58,198.0,96.0,12.0,92.0,39.7
6608,,54,165.0,66.0,12.0,86.0,40.1
7258,,79,160.0,62.0,18.0,97.0,40.2
14882,,76,184.0,87.0,10.0,93.0,39.8
10605,,56,175.0,78.0,29.0,110.0,40.8
14677,,52,193.0,96.0,29.0,108.0,40.9
11212,,48,167.0,68.0,18.0,98.0,40.3
10495,,43,185.0,91.0,16.0,97.0,40.5
14127,,25,159.0,59.0,8.0,92.0,40.0
9892,,29,203.0,106.0,20.0,99.0,40.5
409,,48,185.0,88.0,15.0,103.0,40.0
1285,,35,202.0,105.0,5.0,81.0,39.3
8922,,61,181.0,87.0,25.0,112.0,40.7
5225,,72,166.0,68.0,3.0,76.0,38.2
6909,,21,173.0,64.0,7.0,83.0,39.6
7625,,32,172.0,65.0,7.0,83.0,39.6
5981,,50,167.0,62.0,10.0,86.0,39.6
1091,,22,157.0,59.0,27.0,113.0,40.9
4501,,25,184.0,77.0,10.0,83.0,39.7
73,,22,179.0,67.0,8.0,77.0,39.5
6825,,49,166.0,72.0,11.0,83.0,39.7
11798,,49,178.0,71.0,12.0,98.0,39.9
6526,,54,181.0,85.0,9.0,85.0,39.7
11219,,25,175.0,72.0,10.0,83.0,39.3
10192,,52,160.0,58.0,18.0,94.0,40.3
14811,,34,184.0,79.0,10.0,88.0,39.9
291,,47,179.0,79.0,6.0,74.0,39.3
6086,,27,184.0,72.0,22.0,98.0,41.0
7808,,37,172.0,74.0,9.0,94.0,39.3
9143,,45,156.0,56.0,25.0,105.0,40.7
11410,,58,154.0,61.0,22.0,103.0,40.5
8059,,28,169.0,64.0,13.0,94.0,39.8
2089,,52,187.0,95.0,10.0,89.0,39.8
6286,,55,159.0,59.0,7.0,86.0,39.1
1801,,54,179.0,72.0,28.0,110.0,40.9
13752,,68,175.0,69.0,8.0,97.0,40.1
11822,,29,146.0,47.0,12.0,94.0,39.9
1576,,25,204.0,98.0,22.0,108.0,40.4
1110,,44,165.0,70.0,5.0,97.0,39.2
318,,37,166.0,61.0,25.0,103.0,40.7
10400,,57,154.0,57.0,19.0,88.0,40.5
7802,,41,160.0,58.0,21.0,103.0,40.7
13590,,26,159.0,55.0,26.0,104.0,41.0
6196,,20,183.0,86.0,21.0,103.0,40.7
1825,,26,163.0,62.0,15.0,97.0,40.2
3146,,32,176.0,67.0,7.0,93.0,39.5
6452,,41,178.0,81.0,13.0,87.0,40.0
4486,,33,163.0,63.0,27.0,102.0,40.6
3411,,33,166.0,65.0,4.0,84.0,38.6
144,,20,188.0,84.0,27.0,104.0,41.0
9960,,52,178.0,85.0,10.0,99.0,39.9
4562,,30,182.0,86.0,25.0,94.0,41.0
7735,,56,170.0,78.0,15.0,99.0,40.1
9051,,33,180.0,80.0,27.0,121.0,40.9
10557,,37,191.0,90.0,9.0,95.0,39.4
4556,,25,180.0,85.0,23.0,105.0,41.0
9195,,32,165.0,63.0,10.0,95.0,40.3
11013,,72,168.0,66.0,26.0,102.0,40.7
4871,,22,164.0,62.0,27.0,112.0,40.9
10413,,24,195.0,97.0,9.0,83.0,39.3
11800,,23,175.0,75.0,2.0,77.0,38.8
8257,,26,176.0,73.0,24.0,104.0,40.5
11904,,65,169.0,77.0,2.0,76.0,38.4
1830,,20,170.0,59.0,6.0,83.0,39.3
8965,,24,194.0,87.0,12.0,89.0,40.2
85,,44,189.0,88.0,13.0,94.0,40.0
10090,,28,179.0,75.0,17.0,100.0,40.3
1219,,32,177.0,83.0,30.0,105.0,41.1
8403,,48,187.0,86.0,27.0,106.0,41.1
5069,,24,193.0,83.0,5.0,82.0,38.7
3576,,28,194.0,95.0,29.0,106.0,40.8
12209,,30,189.0,97.0,20.0,100.0,40.3
11299,,39,171.0,77.0,16.0,103.0,40.4
5790,,54,178.0,85.0,3.0,74.0,38.3
4209,,20,198.0,102.0,10.0,89.0,39.5
14014,,44,195.0,103.0,2.0,89.0,38.2
5438,,22,170.0,70.0,27.0,107.0,40.5
14305,,48,157.0,62.0,1.0,80.0,37.7
594,,68,186.0,98.0,28.0,105.0,41.1
4639,,28,165.0,58.0,5.0,83.0,38.8
7273,,21,159.0,51.0,9.0,84.0,39.9
8142,,44,164.0,63.0,24.0,105.0,40.7
12299,,50,186.0,93.0,17.0,99.0,40.5
13847,,64,185.0,88.0,4.0,88.0,39.1
8630,,59,189.0,96.0,2.0,84.0,38.5
14543,,77,154.0,61.0,8.0,88.0,39.4
14062,,20,167.0,67.0,3.0,84.0,38.6
14024,,62,200.0,111.0,19.0,101.0,40.4
61,,77,177.0,80.0,16.0,98.0,40.6
5725,,23,168.0,61.0,8.0,90.0,39.6
6114,,22,153.0,56.0,7.0,92.0,39.5
13056,,69,169.0,67.0,15.0,90.0,40.2
10684,,54,167.0,66.0,2.0,84.0,38.1
10661,,23,167.0,69.0,23.0,100.0,40.8
11712,,29,178.0,81.0,23.0,101.0,40.8
8638,,30,171.0,72.0,18.0,101.0,40.5
11857,,24,193.0,89.0,10.0,95.0,39.7
12379,,73,178.0,80.0,10.0,92.0,40.1
13386,,62,171.0,66.0,23.0,103.0,40.4
9410,,37,192.0,89.0,17.0,105.0,40.3
7316,,39,191.0,93.0,21.0,97.0,40.5
14886,,55,175.0,81.0,20.0,106.0,40.9
5990,,35,148.0,50.0,28.0,103.0,40.7
7046,,61,152.0,56.0,27.0,95.0,40.7
13134,,47,194.0,98.0,19.0,102.0,40.5
7530,,56,190.0,91.0,12.0,86.0,39.9
5411,,52,203.0,102.0,5.0,82.0,38.9
958,,34,135.0,41.0,14.0,92.0,40.2
472,,53,175.0,75.0,13.0,90.0,40.2
13327,,35,182.0,77.0,17.0,93.0,40.0
1513,,57,172.0,70.0,13.0,84.0,40.2
2290,,60,161.0,63.0,3.0,89.0,38.3
4738,,55,164.0,59.0,10.0,86.0,39.9
8455,,54,161.0,64.0,21.0,95.0,40.7
14771,,21,173.0,69.0,22.0,106.0,40.3
11235,,53,167.0,61.0,9.0,84.0,39.5
1479,,52,203.0,100.0,4.0,85.0,38.9
9063,,65,176.0,82.0,15.0,97.0,40.1
12048,,31,186.0,91.0,14.0,96.0,40.1
2899,,27,155.0,53.0,22.0,108.0,40.6
4881,,25,175.0,75.0,9.0,86.0,39.7
12375,,44,181.0,84.0,30.0,114.0,40.9
5261,,36,164.0,61.0,28.0,113.0,41.1
9090,,29,178.0,83.0,28.0,104.0,40.8
14557,,25,197.0,93.0,22.0,99.0,40.4
7199,,39,159.0,59.0,5.0,88.0,39.3
10289,,30,157.0,48.0,4.0,79.0,38.7
11771,,26,168.0,66.0,16.0,102.0,40.2
4877,,50,163.0,60.0,19.0,100.0,40.7
10084,,27,175.0,79.0,16.0,93.0,40.1
9578,,73,164.0,68.0,17.0,92.0,40.2
7414,,43,164.0,59.0,28.0,114.0,40.9
11057,,32,178.0,78.0,16.0,96.0,40.2
